"Year","data","median","LB","UB"
2008,8142,8141.5,8141,8142
2009,7461,7217.72621711051,6412.69748785064,7891.74713714317
2010,6918,6861.87643244345,6247.33014013152,7414.71170695958
2011,6473,6493.25462115807,5964.91451119872,7058.17489908788
2012,5880,6174.21652426403,5665.53792375654,6793.164842927
2013,5649,5903.86401049627,5378.28622848859,6552.33875875542
2014,5555,5662.79738296842,5152.96644447905,6329.51583252584
2015,5603,5476.188779181,4976.10474115042,6088.21408487949
2016,5544,5309.35434555844,4805.67134275645,5867.39049213379
2017,5225,5168.46604364436,4615.64674809761,5704.12443274357
2018,5137,5044.62404970091,4425.87810192556,5579.82501497976
2019,4858,4920.14605751451,4207.64037670267,5525.52516316994
2020,3804,4820.80590457202,3990.21906025548,5521.27638874398
2021,4668,4725.4770462533,3796.3439473774,5536.78776784381
2022,4989,4623.78061769397,3584.59623784876,5594.28187342727
2023,NA,4531.16024163263,3422.97914773058,5651.03482071847
2024,NA,4428.15463138726,3215.89298193477,5692.62304563171
2025,NA,4334.64435662567,3038.97233123406,5759.74742264859
2026,NA,4246.24481812384,2892.97869841983,5786.15308386265
2027,NA,4109.27657213209,2732.15617553795,5879.7874445325
2028,NA,4017.00365983823,2577.77133815721,5902.23996576361
2029,NA,3911.3326494448,2432.32046315026,5973.16625270769
2030,NA,3806.58932769683,2289.33769628944,6024.27507567532
